GHCNstationID,TMAX,WWhi,WWlo,TMIN,WWhi,WWlo,PRCP,WWhi,WWlo
CA006084770,28,0,0,13,0,0,0,0,0
CA006085700,30,2,0,17,0,0,0,0,0
CA006092925,27,0,0,17,0,0,0,0,0
CA006097915,28,2,0,19,3,0,0,0,0
CA006101265,31,0,0,19,0,0,0,0,0
CA006101440,29,0,0,18,0,0,0,0,0
CA006101494,29,0,0,14,0,0,0,0,0
CA006101874,30,0,0,19,0,0,0,0,0
CA006101901,30,0,0,19,0,0,0,0,0
CA006104025,29,0,0,17,0,0,0,0,0
CA006105460,29,0,0,18,0,0,0,0,0
CA006105976,29,0,0,18,0,0,0,0,0
CA006106000,29,0,0,18,0,0,0,0,0
CA006106400,29,0,0,14,0,0,0,0,0
CA006111793,30,0,0,16,0,0,0,0,0
CA006112171,29,0,0,20,2,0,0,0,0
CA006112340,29,0,0,17,0,0,0,0,0
CA006113663,29,0,0,18,0,0,0,0,0
CA006115099,29,0,0,17,0,0,0,0,0
CA006115525,29,0,0,15,0,0,0,0,0
CA006119500,29,1,0,17,0,0,0,0,0
CA006120819,29,0,0,18,0,0,0,0,0
CA006121025,29,0,0,18,0,0,0,0,0
CA006124700,29,0,0,18,0,0,0,0,0
CA006131982,30,0,0,19,0,0,1.5,0,0
CA006133360,28,0,0,22,1,0,0,0,0
CA006135583,28,0,0,21,1,0,0,0,0
CA006135638,28,0,0,20,0,0,0,0,0
CA006136626,28,0,0,20,0,0,0,0,0
CA006136694,29,1,0,19,0,0,0.5,0,0
CA006137285,28,0,0,20,0,0,0,0,0
CA006139265,29,0,0,19,0,0,0,0,0
CA006139445,28,0,0,19,0,0,0,0,0
CA006139520,30,0,0,22,2,0,0,0,0
CA006139525,29,0,0,21,0,0,0,0,0
CA006140954,30,0,0,19,0,0,1.5,0,0
CA006141095,30,0,0,17,0,0,3.6,0,0
CA006142400,29,0,0,18,0,0,1.5,0,0
CA006142803,29,0,0,20,2,0,0,0,0
CA006144475,29,0,0,19,0,0,0.5,0,0
CA006145267,29,1,0,18,0,0,1.5,0,0
CA006146711,30,0,0,17,0,0,3.6,0,0
CA006148105,31,2,0,18,0,0,0.5,0,0
CA006149455,29,0,0,19,0,0,0,0,0
CA006149625,29,0,0,19,0,0,0.5,0,0
CA006150689,31,1,0,19,0,0,0,0,0
CA006151064,28,0,0,22,2,0,0.8,0,0
CA006153300,30,0,0,21,1,0,0.8,0,0
CA006155183,32,1,0,21,2,0,0.8,0,0
CA006155854,25,0,0,18,0,0,0,0,0
CA006156670,29,0,0,15,0,0,0,0,0
CA006157012,29,0,0,20,1,0,0,0,0
CA006157831,30,0,0,17,0,0,0,0,0
CA006158350,28,0,0,22,2,0,0,0,0
CA006158665,26,0,0,20,1,0,0,0,0
CA006158733,29,0,0,21,3,0,0.3,0,0
CA006158875,30,0,0,17,0,0,0,0,0
CA006159575,29,0,0,19,1,0,0,0,0
CA006163156,29,0,0,12,0,0,0,0,0
CA006164297,28,0,0,15,0,0,0,0,0
CA006165195,27,0,0,16,0,0,0,0,0
CA007010720,30,1,0,18,0,0,0,0,0
CA007012071,28,0,0,15,0,0,0,0,0
CA007014160,32,1,0,18,0,0,0,0,0
CA007014290,30,1,0,17,0,0,0,0,0
CA007015730,29,0,0,17,0,0,0,0,0
CA007016294,28,0,0,18,1,0,0,0,0
CA007016800,28,0,0,15,0,0,0,0,0
CA007016840,28,0,0,15,0,0,0,0,0
CA007017080,29,0,0,18,1,0,0,0,0
CA007018000,29,0,0,18,0,0,0,0,0
CA007020560,27,0,0,15,0,0,0,0,0
CA007020840,30,1,0,18,0,0,0,0,0
CA007021840,30,1,0,19,1,0,0,0,0
CA007022000,28,0,0,16,0,0,0,0,0
CA007022160,29,0,0,17,0,0,0,0,0
CA007022300,30,1,0,19,3,0,0,0,0
CA007022320,29,0,0,17,0,0,0,0,0
CA007022800,29,0,0,17,0,0,0,0,0
CA007023240,30,0,0,19,0,0,0,0,0
CA007024000,27,0,0,15,0,0,0,0,0
CA007024280,30,0,0,17,0,0,0,0,0
CA007024440,29,0,0,20,1,0,0,0,0
CA007024920,30,3,0,17,1,0,0,0,0
CA007025250,30,0,0,18,0,0,0,0,0
CA007025280,30,0,0,20,0,0,0,0,0
CA007025440,29,0,0,17,0,0,0,0,0
CA007026040,32,1,0,18,0,0,0,0,0
CA007026465,32,2,0,18,0,0,0,0,0
CA007027040,30,0,0,18,0,0,0,0,0
CA007027200,27,0,0,15,0,0,0,0,0
CA007027280,30,1,0,18,0,0,0,0,0
CA007027320,29,0,0,18,0,0,0,0,0
CA007027520,30,3,0,19,1,0,0,0,0
CA007027750,30,2,0,17,0,0,0,0,0
CA007027840,27,0,0,15,0,0,0,0,0
CA007028200,29,0,0,18,0,0,0,0,0
CA007028280,30,2,0,19,1,0,0,0,0
CA007028680,30,0,0,19,0,0,0,0,0
CA007031360,29,0,0,18,0,0,0,0,0
CA007033120,29,0,0,17,0,0,0,0,0
CA007034480,29,0,0,16,0,0,0,0,0
CA007034481,29,0,0,16,0,0,0,0,0
CA007035520,29,0,0,18,1,0,0,0,0
CA007035680,29,0,0,16,0,0,0,0,0
CA007036063,30,0,0,16,0,0,0,0,0
CA007037400,29,0,0,20,2,0,0,0,0
CA007040440,26,0,0,14,1,0,0,0,0
CA007042840,18,0,0,11,0,0,0,0,0
CA007043540,26,0,0,14,0,0,0,0,0
CA007043960,28,0,0,17,2,0,0,0,0
CA007045400,22,0,0,14,1,0,0,0,0
CA007047770,28,0,0,17,1,0,0,0,0
CA007047910,25,1,0,15,2,0,0,0,0
CA007048320,18,0,0,11,0,0,0,0,0
CA007050240,29,1,0,18,0,0,0,0,0
CA007051120,28,1,0,18,1,0,0.3,0,0
CA007051160,29,2,0,15,0,0,0,0,0
CA007051200,30,1,0,19,3,0,0,0,0
CA007054095,28,0,0,17,0,0,0,0,0
CA007055120,30,2,0,19,2,0,0,0,0
CA007055200,29,1,0,15,0,0,0,0,0
CA007055380,29,2,0,15,0,0,0,0,0
CA007056067,30,3,0,19,3,0,0,0,0
CA007056120,28,1,0,19,3,0,0,0,0
CA007056200,25,2,0,17,3,0,0,0,0
CA007056480,30,2,0,19,3,0,0,0,0
CA007056600,29,0,0,17,1,0,0,0,0
CA007057160,28,1,0,18,2,0,0.3,0,0
CA007057600,28,0,0,17,0,0,0,0,0
CA007057720,29,0,0,19,3,0,0,0,0
CA007058520,30,2,0,19,2,0,0,0,0
CA007058560,18,0,0,11,0,0,0,0,0
CA007060080,27,0,0,17,1,0,0.5,0,0
CA007060400,29,0,0,20,3,0,0,0,0
CA007063400,29,0,0,18,1,0,0,0,0
CA007063560,27,0,0,17,1,0,0.5,0,0
CA007063683,29,1,0,18,2,0,0,0,0
CA007064998,27,0,0,17,1,0,0.5,0,0
CA007065640,27,0,0,17,1,0,0.5,0,0
CA007065960,27,0,0,17,0,0,0.5,0,0
CA007066685,27,0,0,17,0,0,0.5,0,0
CA007066820,29,0,0,18,2,0,0,0,0
CA007068160,29,0,0,18,2,0,0,0,0
CA007074240,30,0,0,16,0,0,0,0,0
CA007080452,27,0,0,19,2,0,0,0,0
